Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
229,25,12,0,Amazonas
472,0,6,196,Antioquia
530,56,21,63,Atlantico
373,20,33,121,Bolivar
58,19,3,14,Boyaca
79,3,3,31,Caldas
3084,113,117,641,Capital District
9,1,1,0,Caqueta
20,4,0,6,Casanare
36,1,4,13,Cauca
62,2,7,29,Cesar
23,10,2,3,Choco
29,3,3,9,Cordoba
248,7,13,105,Cundinamarca
134,4,7,47,Huila
10,1,1,1,La Guajira
242,10,19,35,Magdalena
565,49,6,23,Meta
201,17,9,24,Narino
84,3,9,27,Norte de Santander
61,1,3,46,Quindio
211,3,8,67,Risaralda
6,0,0,4,San Andrés and Providencia
40,0,3,29,Santander
1,0,0,1,Sucre
94,7,3,20,Tolima
1058,29,63,250,Valle del Cauca
